 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:         10361         654040  [B (java.base@17)
   2:          1525         534592  [Ljava.lang.Object; (java.base@17)
   3:          9486         227664  java.lang.String (java.base@17)
   4:          1374         167976  java.lang.Class (java.base@17)
   5:          4709         150688  java.util.HashMap$Node (java.base@17)
   6:          2699          86368  java.util.concurrent.ConcurrentHashMap$Node (java.base@17)
   7:           222          77928  [C (java.base@17)
   8:           349          67408  [Ljava.util.HashMap$Node; (java.base@17)
   9:          1092          43680  java.util.LinkedHashMap$Entry (java.base@17)
  10:            68          28608  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17)
  11:           511          26576  [Ljava.lang.String; (java.base@17)
  12:           294          23848  [I (java.base@17)
  13:           350          16800  java.util.HashMap (java.base@17)
  14:           196          14896  [Ljava.lang.ref.SoftReference; (java.base@17)
  15:           298          14304  java.lang.invoke.MemberName (java.base@17)
  16:           278          11120  java.lang.invoke.MethodType (java.base@17)
  17:           306           9792  java.lang.invoke.LambdaForm$Name (java.base@17)
  18:           281           8992  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17)
  19:           370           8880  java.lang.module.ModuleDescriptor$Exports (java.base@17)
  20:           287           8136  [Ljava.lang.Class; (java.base@17)
  21:            32           6624  [Ljava.lang.invoke.MethodHandle; (java.base@17)
  22:           256           6144  java.lang.Long (java.base@17)
  23:           244           5856  java.lang.invoke.ResolvedMethodName (java.base@17)
  24:           146           5840  java.lang.ref.SoftReference (java.base@17)
  25:            71           5680  java.net.URI (java.base@17)
  26:            88           5632  java.util.concurrent.ConcurrentHashMap (java.base@17)
  27:           227           5448  java.util.ImmutableCollections$Set12 (java.base@17)
  28:           168           5376  java.lang.module.ModuleDescriptor$Requires (java.base@17)
  29:           192           4608  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17)
  30:            71           4544  java.lang.module.ModuleDescriptor (java.base@17)
  31:           269           4304  java.util.HashSet (java.base@17)
  32:           268           4288  java.lang.Integer (java.base@17)
  33:            87           4176  java.lang.invoke.LambdaForm (java.base@17)
  34:            92           4064  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17)
  35:            71           3976  jdk.internal.module.ModuleReferenceImpl (java.base@17)
  36:            69           3864  java.lang.Module (java.base@17)
  37:           154           3696  java.time.LocalDateTime (java.base@17)
  38:            10           3680  java.lang.Thread (java.base@17)
  39:            90           3600  java.math.BigInteger (java.base@17)
  40:           108           3456  java.lang.invoke.MethodTypeForm (java.base@17)
  41:           204           3264  java.lang.Object (java.base@17)
