 num     #instances         #bytes  class name (module)
-------------------------------------------------------
   1:          9045         520880  [B (java.base@17)
   2:          8558         205392  java.lang.String (java.base@17)
   3:          1251         152888  java.lang.Class (java.base@17)
   4:          4080         130560  java.util.HashMap$Node (java.base@17)
   5:          1381         100384  [Ljava.lang.Object; (java.base@17)
   6:           222          77928  [C (java.base@17)
   7:           343          62640  [Ljava.util.HashMap$Node; (java.base@17)
   8:          1427          45664  java.util.concurrent.ConcurrentHashMap$Node (java.base@17)
   9:          1073          42920  java.util.LinkedHashMap$Entry (java.base@17)
  10:           509          24056  [Ljava.lang.String; (java.base@17)
  11:           207          21352  [I (java.base@17)
  12:            58          18976  [Ljava.util.concurrent.ConcurrentHashMap$Node; (java.base@17)
  13:           346          16608  java.util.HashMap (java.base@17)
  14:           184          13984  [Ljava.lang.ref.SoftReference; (java.base@17)
  15:           284          13632  java.lang.invoke.MemberName (java.base@17)
  16:           334          10688  java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry (java.base@17)
  17:           264          10560  java.lang.invoke.MethodType (java.base@17)
  18:           370           8880  java.lang.module.ModuleDescriptor$Exports (java.base@17)
  19:           277           8864  java.lang.invoke.LambdaForm$Name (java.base@17)
  20:           271           7736  [Ljava.lang.Class; (java.base@17)
  21:            31           6344  [Ljava.lang.invoke.MethodHandle; (java.base@17)
  22:           256           6144  java.lang.Long (java.base@17)
  23:            71           5680  java.net.URI (java.base@17)
  24:           232           5568  java.lang.invoke.ResolvedMethodName (java.base@17)
  25:           137           5480  java.lang.ref.SoftReference (java.base@17)
  26:           227           5448  java.util.ImmutableCollections$Set12 (java.base@17)
  27:           168           5376  java.lang.module.ModuleDescriptor$Requires (java.base@17)
  28:            75           4800  java.util.concurrent.ConcurrentHashMap (java.base@17)
  29:            71           4544  java.lang.module.ModuleDescriptor (java.base@17)
  30:           268           4288  java.util.HashSet (java.base@17)
  31:           262           4192  java.lang.Integer (java.base@17)
  32:            71           3976  jdk.internal.module.ModuleReferenceImpl (java.base@17)
  33:            81           3888  java.lang.invoke.LambdaForm (java.base@17)
  34:            69           3864  java.lang.Module (java.base@17)
  35:            86           3792  [Ljava.lang.invoke.LambdaForm$Name; (java.base@17)
  36:            10           3680  java.lang.Thread (java.base@17)
  37:           102           3264  java.lang.invoke.MethodTypeForm (java.base@17)
  38:           129           3096  java.util.ImmutableCollections$SetN (java.base@17)
  39:            41           2952  java.lang.reflect.Constructor (java.base@17)
  40:            44           2816  java.lang.Class$ReflectionData (java.base@17)
  41:           116           2784  java.lang.invoke.LambdaForm$NamedFunction (java.base@17)
  42:           157           2512  java.lang.Object (java.base@17)
  43:           103           2472  [[C (java.base@17)
  44:            92           2208  java.util.ImmutableCollections$List12 (java.base@17)
  45:            68           2176  java.lang.invoke.LambdaForm$Kind (java.base@17)
  46:            44           2112  jdk.internal.ref.CleanerImpl$PhantomCleanableRef (java.base@17)
  47:            63           2016  java.lang.invoke.DirectMethodHandle (java.base@17)
  48:            62           1984  jdk.internal.loader.BuiltinClassLoader$LoadedModule (java.base@17)
  49:             6           1752  [J (java.base@17)
  50:            71           1704  jdk.internal.module.SystemModuleFinders$2 (java.base@17)
  51:             1           1568  [[B (java.base@17)
  52:            64           1536  java.lang.module.ModuleDescriptor$Provides (java.base@17)
  53:            64           1536  jdk.internal.module.ServicesCatalog$ServiceProvider (java.base@17)
  54:            63           1512  java.lang.module.ResolvedModule (java.base@17)
  55:            35           1400  java.io.ObjectStreamField (java.base@17)
  56:            30           1200  java.lang.invoke.DirectMethodHandle$Accessor (java.base@17)
  57:            37           1184  java.lang.invoke.MethodHandleNatives$CallSiteContext (java.base@17)
  58:            37           1184  jdk.internal.reflect.NativeConstructorAccessorImpl (java.base@17)
  59:            68           1088  java.util.HashMap$KeySet (java.base@17)
  60:            67           1072  jdk.internal.module.SystemModuleFinders$3 (java.base@17)
  61:            12           1056  java.lang.reflect.Method (java.base@17)
  62:             1           1040  [Ljava.lang.Integer; (java.base@17)
  63:             1           1040  [Ljava.lang.Long; (java.base@17)
  64:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@17)
  65:            28            896  java.lang.invoke.BoundMethodHandle$Species_L (java.base@17)
  66:            28            896  java.util.Locale (java.base@17)
  67:            28            896  sun.util.locale.BaseLocale (java.base@17)
  68:            37            888  [Ljava.lang.reflect.Constructor; (java.base@17)
  69:            34            816  java.util.ImmutableCollections$ListN (java.base@17)
  70:            19            760  sun.util.locale.LocaleObjectCache$CacheEntry (java.base@17)
  71:            31            744  java.util.concurrent.CopyOnWriteArrayList (java.base@17)
  72:            28            672  java.util.jar.Attributes$Name (java.base@17)
  73:            16            640  java.lang.invoke.DirectMethodHandle$Constructor (java.base@17)
  74:             3            624  [Ljava.lang.invoke.LambdaForm; (java.base@17)
  75:            19            608  java.lang.ref.ReferenceQueue (java.base@17)
  76:            37            592  jdk.internal.reflect.DelegatingConstructorAccessorImpl (java.base@17)
  77:            12            576  java.lang.invoke.LambdaFormEditor$Transform (java.base@17)
